,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Rickey Green,0.546,4.0,33.9,3.5,3.2,0.132,31.6,4.9,10.4,0.477,0.481,7.8,13.0
Thurl Bailey,0.533,10.9,8.2,1.6,3.8,0.104,31.0,6.3,12.9,0.49,0.491,1.7,15.2
John Drew,0.491,9.2,11.6,0.0,0.7,0.07,24.4,5.6,13.7,0.412,0.412,1.8,16.2
Jeff Wilkins,0.511,12.6,7.8,-0.1,2.4,0.074,19.1,3.6,7.4,0.49,0.49,1.0,8.0
John Stockton,0.548,3.6,35.9,0.8,2.3,0.1,18.2,1.9,4.1,0.471,0.474,5.1,5.6
Fred Roberts,0.587,8.9,10.8,1.3,1.0,0.128,16.8,3.2,6.2,0.513,0.514,1.3,8.7
Rich Kelley,0.547,14.2,11.8,-0.5,2.2,0.066,16.6,1.3,2.8,0.477,0.477,1.6,3.8
Bob Hansen,0.508,5.6,16.4,-0.2,0.8,0.049,12.0,2.0,4.2,0.489,0.491,1.4,4.8
J.J. Anderson,0.441,9.3,6.2,-0.6,0.8,0.025,10.4,1.4,3.4,0.409,0.409,0.5,3.4
Billy Paultz,0.413,13.4,5.4,-0.6,0.6,-0.006,6.0,0.5,1.4,0.368,0.368,0.3,1.3
